sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-04 18:03:30.451 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1, 99841683, 15.372001647949219, -80.18203735351562, 91.78596496582031
2, 99858350, 15.68418025970459, -80.17117309570312, 91.54397583007812
3, 99875017, 15.90457534790039, -80.16817474365234, 91.38677215576172
4, 99891684, 16.07522201538086, -80.15741729736328, 91.27322387695312
5, 99908351, 16.216548919677734, -80.1449966430664, 91.18019104003906
6, 99925018, 16.395339965820312, -80.12908935546875, 90.99431610107422
7, 99941685, 16.591936111450195, -80.10711669921875, 90.82550811767578
8, 99958352, 16.78087615966797, -80.08380126953125, 90.66090393066406
9, 99975019, 16.946231842041016, -80.06120300292969, 90.51921081542969
10, 99991686, 17.091581344604492, -80.04174041748047, 90.38513946533203
11, 100008353, 17.244741439819336, -80.02350616455078, 90.23143005371094
12, 100025020, 17.388629913330078, -80.0046157836914, 90.08500671386719
13, 100041687, 17.514755249023438, -79.98539733886719, 89.94022369384766
14, 100058354, 17.632827758789062, -79.96343994140625, 89.78762817382812
15, 100075021, 17.734777450561523, -79.94439697265625, 89.66413879394531
16, 100091688, 17.828737258911133, -79.92596435546875, 89.58680725097656
17, 100108355, 17.938621520996094, -79.9075927734375, 89.4857406616211
18, 100125022, 18.06209945678711, -79.88812255859375, 89.3713150024414
19, 100141689, 18.182069778442383, -79.86830139160156, 89.26366424560547
20, 100158356, 18.30488395690918, -79.84727478027344, 89.1408920288086
21, 100175023, 18.42871856689453, -79.82618713378906, 89.04779052734375
22, 100191690, 18.562641143798828, -79.80577087402344, 88.94153594970703
23, 100208357, 18.710317611694336, -79.78469848632812, 88.806640625
24, 100225024, 18.855058670043945, -79.76338195800781, 88.6760025024414
25, 100241691, 18.984418869018555, -79.74556732177734, 88.55807495117188
26, 100258358, 19.105518341064453, -79.72824096679688, 88.43557739257812
27, 100275025, 19.19872283935547, -79.71404266357422, 88.31865692138672
28, 100291692, 19.288358688354492, -79.70142364501953, 88.2283935546875
29, 100308359, 19.38540267944336, -79.69097137451172, 88.11767578125
30, 100325026, 19.499086380004883, -79.68244934082031, 87.96762084960938
31, 100341693, 19.614906311035156, -79.67318725585938, 87.82923126220703
32, 100358360, 19.743743896484375, -79.66522216796875, 87.66429901123047
33, 100375027, 19.88116455078125, -79.65909576416016, 87.50130462646484
34, 100391694, 20.013296127319336, -79.65560150146484, 87.34089660644531
35, 100408361, 20.12545394897461, -79.65206146240234, 87.19541931152344
36, 100425028, 20.24419403076172, -79.64640045166016, 87.05897521972656
37, 100441695, 20.371179580688477, -79.6412124633789, 86.9034423828125
38, 100458362, 20.518529891967773, -79.63442993164062, 86.72312927246094
39, 100475029, 20.66935157775879, -79.62684631347656, 86.52365112304688
40, 100491696, 20.835390090942383, -79.61698913574219, 86.3547592163086
41, 100508363, 20.994140625, -79.60441589355469, 86.18798828125
42, 100525030, 21.13274383544922, -79.5918960571289, 86.04369354248047
43, 100541697, 21.267656326293945, -79.57772064208984, 85.89921569824219
44, 100558364, 21.39698600769043, -79.56414031982422, 85.76950073242188
45, 100575031, 21.51504898071289, -79.55211639404297, 85.65711212158203
46, 100591698, 21.62647247314453, -79.53816986083984, 85.54473876953125
47, 100608365, 21.734891891479492, -79.52352905273438, 85.43054962158203
48, 100625032, 21.83731460571289, -79.50799560546875, 85.32205963134766
49, 100641699, 21.93822479248047, -79.4927749633789, 85.21165466308594
50, 100658366, 22.04609489440918, -79.478515625, 85.1089096069336
51, 100675033, 22.144067764282227, -79.46610260009766, 85.019775390625
52, 100691700, 22.233320236206055, -79.45344543457031, 84.94196319580078
53, 100708367, 22.310014724731445, -79.43904876708984, 84.88407897949219
54, 100725034, 22.388391494750977, -79.42682647705078, 84.80757904052734
55, 100741701, 22.48476219177246, -79.41758728027344, 84.73011016845703
56, 100758368, 22.582963943481445, -79.41069030761719, 84.65486145019531
57, 100775035, 22.68561553955078, -79.40106964111328, 84.55783081054688
58, 100791702, 22.778409957885742, -79.39282989501953, 84.46235656738281
59, 100808369, 22.857515335083008, -79.38578033447266, 84.3885726928711
60, 100825036, 22.939245223999023, -79.3778076171875, 84.29735565185547
61, 100841703, 23.024526596069336, -79.37069702148438, 84.21190643310547
62, 100858370, 23.126710891723633, -79.36270141601562, 84.09729766845703
63, 100875037, 23.23711585998535, -79.35445404052734, 83.95791625976562
64, 100891704, 23.35436248779297, -79.34781646728516, 83.82015228271484
65, 100908371, 23.465137481689453, -79.3405990600586, 83.69282531738281
66, 100925038, 23.576656341552734, -79.3326644897461, 83.55577087402344
67, 100941705, 23.692813873291016, -79.3247299194336, 83.41144561767578
68, 100958372, 23.827838897705078, -79.31636810302734, 83.25281524658203
69, 100975039, 23.970399856567383, -79.31109619140625, 83.08265686035156
70, 100991706, 24.112239837646484, -79.30572509765625, 82.91377258300781
71, 101008373, 24.245750427246094, -79.30123901367188, 82.75994873046875
72, 101025040, 24.365108489990234, -79.29437255859375, 82.62242889404297
73, 101041707, 24.48062515258789, -79.28681945800781, 82.49864196777344
74, 101058374, 24.587182998657227, -79.2828140258789, 82.38555145263672
75, 101075041, 24.689647674560547, -79.27808380126953, 82.26177978515625
76, 101091708, 24.77056312561035, -79.27111053466797, 82.15572357177734
77, 101108375, 24.848630905151367, -79.26238250732422, 82.05479431152344
78, 101125042, 24.912412643432617, -79.25362396240234, 81.97799682617188
79, 101141709, 24.988384246826172, -79.24478149414062, 81.89215087890625
80, 101158376, 25.061614990234375, -79.23393249511719, 81.78302764892578
81, 101175043, 25.120285034179688, -79.22260284423828, 81.70671844482422
82, 101191710, 25.17759132385254, -79.21277618408203, 81.63368225097656
83, 101208377, 25.242162704467773, -79.20380401611328, 81.55255126953125
84, 101225044, 25.310972213745117, -79.19313049316406, 81.4932632446289
85, 101241711, 25.389860153198242, -79.18031311035156, 81.41200256347656
86, 101258378, 25.465591430664062, -79.16934967041016, 81.33779907226562
87, 101275045, 25.529035568237305, -79.1594467163086, 81.27096557617188
88, 101291712, 25.58440589904785, -79.14884948730469, 81.19766235351562
89, 101308379, 25.64912986755371, -79.13822174072266, 81.11695098876953
90, 101325046, 25.710054397583008, -79.12706756591797, 81.045166015625
91, 101341713, 25.767494201660156, -79.11599731445312, 80.98095703125
92, 101358380, 25.82278060913086, -79.10355377197266, 80.93260955810547
93, 101375047, 25.896526336669922, -79.0866928100586, 80.88887786865234
94, 101391714, 26.006942749023438, -79.06820678710938, 80.8311996459961
95, 101408381, 26.128080368041992, -79.05531311035156, 80.80309295654297
96, 101425048, 26.25119400024414, -79.04647064208984, 80.78201293945312
97, 101441715, 26.369413375854492, -79.03964233398438, 80.76727294921875
98, 101458382, 26.482887268066406, -79.03593444824219, 80.7720718383789
99, 101475049, 26.585325241088867, -79.03855895996094, 80.77722930908203
100, 101491716, 26.699539184570312, -79.03985595703125, 80.79346466064453
101, 101508383, 26.80139923095703, -79.03773498535156, 80.83098602294922
102, 101525050, 26.85752296447754, -79.03227996826172, 80.913818359375
103, 101541717, 26.863929748535156, -79.01997375488281, 81.04143524169922
104, 101558384, 26.85500144958496, -79.0017318725586, 81.17401885986328
105, 101575051, 26.8510799407959, -78.9778823852539, 81.30607604980469
106, 101591718, 26.852676391601562, -78.95074462890625, 81.44312286376953
107, 101608385, 26.8206787109375, -78.92313385009766, 81.63525390625
108, 101625052, 26.714303970336914, -78.89945983886719, 81.90876007080078
109, 101641719, 26.5712833404541, -78.87687683105469, 82.22354125976562
110, 101658386, 26.4285831451416, -78.85462951660156, 82.56333923339844
111, 101675053, 26.238588333129883, -78.83674621582031, 82.9639663696289
112, 101691720, 25.987211227416992, -78.83123016357422, 83.4645004272461
113, 101708387, 25.720500946044922, -78.83390808105469, 84.01695251464844
114, 101725054, 25.505828857421875, -78.83944702148438, 84.57706451416016
115, 101741721, 25.346412658691406, -78.84765625, 85.14058685302734
116, 101758388, 25.301755905151367, -78.87455749511719, 85.63016510009766
117, 101775055, 25.369964599609375, -78.93135070800781, 86.05487823486328
118, 101791722, 25.56766128540039, -79.00849914550781, 86.35245513916016
119, 101808389, 25.876726150512695, -79.10009002685547, 86.51081848144531
120, 101825056, 26.24012565612793, -79.1961898803711, 86.57943725585938
121, 101841723, 26.582748413085938, -79.28568267822266, 86.62439727783203
122, 101858390, 26.898880004882812, -79.37138366699219, 86.65457153320312
123, 101875057, 27.10500717163086, -79.45445251464844, 86.7509765625
124, 101891724, 27.26632308959961, -79.52781677246094, 86.83161163330078
125, 101908391, 27.46906089782715, -79.59457397460938, 86.87498474121094
126, 101925058, 27.783056259155273, -79.65528106689453, 86.82383728027344
127, 101941725, 28.17681121826172, -79.70608520507812, 86.68771362304688
128, 101958392, 28.570980072021484, -79.7446060180664, 86.517333984375
129, 101975059, 28.972829818725586, -79.79255676269531, 86.33783721923828
130, 101991726, 29.353422164916992, -79.85382843017578, 86.24372863769531
131, 102008393, 29.89496612548828, -79.93482971191406, 86.08916473388672
132, 102025060, 30.85105323791504, -80.00650787353516, 85.6457748413086
133, 102041727, 32.193885803222656, -80.0643539428711, 84.92264556884766
134, 102058394, 33.558067321777344, -80.12322998046875, 84.1700439453125
135, 102075061, 34.77009582519531, -80.1841812133789, 83.51690673828125
136, 102091728, 35.87741470336914, -80.248291015625, 82.93675231933594
137, 102108395, 36.89546203613281, -80.29991912841797, 82.4808578491211
138, 102125062, 37.91301345825195, -80.34679412841797, 82.0653076171875
