sep=,
Measurement Mode:,Complete (Euler)
StartTime:,Fri, 03 Jun 2022 10:51:44 GMT
© Xsens Technologies B. V. 2005-2022

Timestamp,Address,Euler_x,Euler_y,Euler_z,FreeAcc_x,FreeAcc_y,FreeAcc_z
179457748,d4:22:cd:00:30:92,-165.42384338378906,-86.94989013671875,-117.69452667236328,0.3288262188434601,-0.03693775087594986,0.13542842864990234
179474415,d4:22:cd:00:30:92,-165.29052734375,-86.94526672363281,-117.82613372802734,0.3192211985588074,-0.018295206129550934,0.1410083770751953
179491082,d4:22:cd:00:30:92,-165.17715454101562,-86.94149017333984,-117.93937683105469,0.3110334873199463,-0.03244916349649429,0.12496566772460938
179507749,d4:22:cd:00:30:92,-165.06866455078125,-86.93841552734375,-118.04551696777344,0.32649877667427063,-0.01990494690835476,0.1420879364013672
179524416,d4:22:cd:00:30:92,-164.939453125,-86.93458557128906,-118.17144012451172,0.318196177482605,-0.028019361197948456,0.14265060424804688
179541083,d4:22:cd:00:30:92,-164.806884765625,-86.93126678466797,-118.30533599853516,0.28575393557548523,-0.01904062181711197,0.12977218627929688
179557750,d4:22:cd:00:30:92,-164.69447326660156,-86.92897033691406,-118.41159057617188,0.3165419399738312,-0.030382562428712845,0.12978076934814453
179574417,d4:22:cd:00:30:92,-164.5680694580078,-86.92757415771484,-118.53852081298828,0.3151966333389282,-0.03495228663086891,0.1279592514038086
179591084,d4:22:cd:00:30:92,-164.43145751953125,-86.92584991455078,-118.67340087890625,0.31038662791252136,-0.019521845504641533,0.13008880615234375
179607751,d4:22:cd:00:30:92,-164.29641723632812,-86.9233627319336,-118.80492401123047,0.3042098581790924,-0.024993441998958588,0.13861560821533203
179624418,d4:22:cd:00:30:92,-164.16368103027344,-86.9201889038086,-118.9366226196289,0.3015386462211609,-0.02825002558529377,0.15116500854492188
179641085,d4:22:cd:00:30:92,-164.04135131835938,-86.91777038574219,-119.05746459960938,0.2874903976917267,-0.02693532221019268,0.12945556640625
179657752,d4:22:cd:00:30:92,-163.92489624023438,-86.91447448730469,-119.17576599121094,0.29661375284194946,-0.01031020563095808,0.12167167663574219
179674419,d4:22:cd:00:30:92,-163.79676818847656,-86.9125747680664,-119.30302429199219,0.30686429142951965,-0.02106877788901329,0.1447305679321289
179691086,d4:22:cd:00:30:92,-163.66726684570312,-86.90921020507812,-119.43009185791016,0.3094402849674225,-0.004561005160212517,0.14593791961669922
179707753,d4:22:cd:00:30:92,-163.54608154296875,-86.90673828125,-119.54365539550781,0.2960643768310547,-0.020823808386921883,0.11290931701660156
179724420,d4:22:cd:00:30:92,-163.4269561767578,-86.90357971191406,-119.65483093261719,0.30314525961875916,-0.015329635702073574,0.13536930084228516
179741087,d4:22:cd:00:30:92,-163.28579711914062,-86.89877319335938,-119.79205322265625,0.29371389746665955,-0.020713169127702713,0.13904953002929688
179757754,d4:22:cd:00:30:92,-163.1604461669922,-86.89430236816406,-119.91740417480469,0.28442269563674927,-0.021386167034506798,0.11911773681640625
179774421,d4:22:cd:00:30:92,-163.0552520751953,-86.89070892333984,-120.023681640625,0.27515584230422974,-0.017655735835433006,0.14203453063964844
179791088,d4:22:cd:00:30:92,-162.9497528076172,-86.88611602783203,-120.12615966796875,0.2974834442138672,-0.023339223116636276,0.14717769622802734
179807755,d4:22:cd:00:30:92,-162.827392578125,-86.88084411621094,-120.2433090209961,0.28828924894332886,-0.01775721088051796,0.11197757720947266
179824422,d4:22:cd:00:30:92,-162.71597290039062,-86.87638854980469,-120.34857940673828,0.29407957196235657,-0.03450034186244011,0.1396312713623047
179841089,d4:22:cd:00:30:92,-162.58432006835938,-86.87249755859375,-120.47077178955078,0.27281656861305237,0.000891593168489635,0.13452911376953125
179857756,d4:22:cd:00:30:92,-162.46885681152344,-86.86912536621094,-120.5794906616211,0.27269452810287476,-0.02477998659014702,0.12913227081298828
179874423,d4:22:cd:00:30:92,-162.3549346923828,-86.86700439453125,-120.68464660644531,0.2924535274505615,-0.015934238210320473,0.14415931701660156
179891090,d4:22:cd:00:30:92,-162.2364959716797,-86.86369323730469,-120.79985046386719,0.2834557890892029,-0.04558099806308746,0.13844966888427734
179907757,d4:22:cd:00:30:92,-162.10098266601562,-86.8619384765625,-120.92835235595703,0.2816118001937866,-0.030125299468636513,0.11367225646972656
179924424,d4:22:cd:00:30:92,-161.9776611328125,-86.85969543457031,-121.05028533935547,0.28085988759994507,-0.0339498296380043,0.14484882354736328
179941091,d4:22:cd:00:30:92,-161.8403778076172,-86.85839080810547,-121.18441772460938,0.2833402156829834,-0.010183921083807945,0.1337566375732422
