sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:07:14.350 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
33, 299825728, 118.90350341796875, -84.79207611083984, -58.97100067138672
34, 299842395, 118.90511322021484, -84.79255676269531, -58.97896957397461
35, 299859062, 118.89896392822266, -84.79255676269531, -58.96852111816406
36, 299875729, 118.89668273925781, -84.7927474975586, -58.96727752685547
37, 299892396, 118.89552307128906, -84.79113006591797, -58.9726676940918
38, 299909063, 118.8858642578125, -84.7902603149414, -58.961944580078125
39, 299925730, 118.90064239501953, -84.7900390625, -58.99345016479492
40, 299942397, 118.91508483886719, -84.78857421875, -59.00654602050781
41, 299959064, 118.9239730834961, -84.78880310058594, -59.020477294921875
42, 299975731, 118.90425109863281, -84.78820037841797, -59.00357437133789
43, 299992398, 118.89501953125, -84.78763580322266, -58.98241424560547
44, 300009065, 118.88847351074219, -84.78623962402344, -58.97121810913086
45, 300025732, 118.88239288330078, -84.78582763671875, -58.965850830078125
46, 300042399, 118.87501525878906, -84.78668975830078, -58.9556999206543
47, 300059066, 118.87630462646484, -84.78650665283203, -58.96064376831055
48, 300075733, 118.8817138671875, -84.7868423461914, -58.966514587402344
49, 300092400, 118.88956451416016, -84.78722381591797, -58.974571228027344
50, 300109067, 118.89128875732422, -84.78759765625, -58.97843933105469
51, 300125734, 118.88530731201172, -84.7873306274414, -58.96905517578125
52, 300142401, 118.8804702758789, -84.78673553466797, -58.96813201904297
53, 300159068, 118.88508605957031, -84.78582763671875, -58.9757080078125
54, 300175735, 118.87760162353516, -84.78608703613281, -58.96648406982422
55, 300192402, 118.87165832519531, -84.78631591796875, -58.96048355102539
56, 300209069, 118.87635803222656, -84.78650665283203, -58.96168899536133
57, 300225736, 118.86737823486328, -84.78650665283203, -58.94783401489258
58, 300242403, 118.86217498779297, -84.78545379638672, -58.94049835205078
59, 300259070, 118.86410522460938, -84.78553009033203, -58.937164306640625
60, 300275737, 118.86417388916016, -84.78590393066406, -58.934574127197266
