,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_x,Euler_y,Euler_z
0,0.61207944,0.38564736,-0.6109283000000001,0.321561,92.9063291158722,-29.99040775262572,86.90714762136709
1,0.6121863000000001,0.38548282,-0.6109688,0.32147798,92.89674942787278,-30.01356118684578,86.90590570493214
2,0.61216766,0.38554415,-0.6109891,0.32140148,92.90633785174428,-30.01498961240257,86.90262496384076
3,0.61219114,0.38554114,-0.6110531,0.32123864,92.91685166733924,-30.03051122461151,86.89863588787739
4,0.6122001,0.3855458,-0.6110911,0.32114380000000003,92.92372650246796,-30.03895432501717,86.89644640705282
5,0.612233,0.38550409999999996,-0.61117333,0.32097426,92.93338777090473,-30.05871340470575,86.89473273049374
6,0.61221725,0.3855421,-0.6111964,0.32091490000000006,92.94106251560422,-30.060720374002937,86.89334961194322
7,0.61224526,0.38550702,-0.611255,0.32079208,92.94740920248474,-30.0754953729817,86.89192888687745
8,0.6121616999999999,0.38566655,-0.6111981,0.32086813,92.95384377671704,-30.053462780610545,86.8898718101599
9,0.6121349,0.38570055,-0.611217,0.32084233,92.96036307107123,-30.052700228799413,86.89076622931195
10,0.61214334,0.38566542,-0.6112853,0.32073843,92.96822521172346,-30.065713889323273,86.89258515482376
11,0.6121181,0.3857114,-0.6112797,0.32074192,92.97188374445722,-30.0610876607647,86.89212210665376
12,0.6120666,0.38581508,-0.61124283,0.32078576,92.97609823640862,-30.047290426935177,86.89030859405483
13,0.61207926,0.38577777,-0.61130404,0.32068986,92.9825759960462,-30.059756605236977,86.8916806167682
14,0.6120371,0.38584426,-0.6113025,0.32069317,92.98893552544922,-30.053229690224597,86.89192155960606
15,0.61195403,0.38599959999999994,-0.6112390000000001,0.32078558,92.99384682172807,-30.030051723265576,86.89022492055518
16,0.6119246,0.3860617,-0.61123216,0.32078022,92.99892394730631,-30.02474992096848,86.88881933516673
17,0.6118887,0.38611376,-0.6112399000000001,0.32077128,93.00538409947977,-30.02071949815988,86.88944040745945
18,0.61186045,0.38615638,-0.61125124,0.32075223,93.01151752125904,-30.018517231082086,86.88972812010913
19,0.61184263,0.38617906,-0.61127526,0.32071316,93.01777651194321,-30.02005428365721,86.89024935530509
20,0.6118248000000001,0.38620552,-0.6112945,0.32067870000000004,93.02362271145066,-30.020806703608308,86.89041145336385
21,0.6118074,0.38624012,-0.6113076,0.32064527,93.02928336150102,-30.02069972300456,86.88969522757768
22,0.6118,0.38625008,-0.6113369000000001,0.32059172,93.03516734127616,-30.024784149304907,86.88975596774144
23,0.61177796,0.38629845,-0.61133516,0.32057872,93.03974081826098,-30.021474352692564,86.88847707042842
24,0.61175084,0.38633847,-0.6113441,0.3205651,93.04521603385037,-30.01900447633063,86.8888499865337
25,0.6117161,0.3863983,-0.6113444,0.32055876,93.05123574509308,-30.014003028146707,86.88851493995534
26,0.6117123000000001,0.38639477,-0.6113803000000001,0.32050186,93.05686312968184,-30.01965985032688,86.88931797631747
27,0.6116818,0.38644454,-0.6113898,0.32048178,93.06342177091523,-30.016880417147984,86.88924552638855
28,0.6116568,0.3864836,-0.6113930000000001,0.3204765,93.06783444870342,-30.01372560870411,86.88940606335927
29,0.6116256999999999,0.38652929999999996,-0.61139405,0.32047847,93.07255977612635,-30.00926109552322,86.8898944785157
30,0.61158335,0.38659102,-0.6113949000000001,0.3204833,93.07882433293624,-30.003037461565878,86.89063463597786
31,0.6115958,0.38656640000000003,-0.61143833,0.32040644,93.08363195007742,-30.01253403247757,86.89084410970808
