,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_x,Euler_y,Euler_z
0,0.56413716,-0.45965222,0.52288103,0.44391957,-88.2149474638898,10.477885073831532,86.55655476946602
1,0.564399,-0.45923018,0.5232690999999999,0.44356626,-88.2165847219922,10.560114729701096,86.56642238129889
2,0.56416446,-0.459374,0.52317846,0.44382244,-88.22117537377471,10.518698128328841,86.5823584232636
3,0.5642514,-0.45916313,0.5234147,0.44365162,-88.2271813357258,10.559586783510253,86.59306988903487
4,0.5640009,-0.45934507,0.52330047,0.44391647,-88.23299291880396,10.513206958144808,86.6070695742127
5,0.56387955,-0.4594362,0.52324325,0.44404376,-88.2359026109968,10.490515426605391,86.61352302074853
6,0.56397593,-0.45927805,0.5233895000000001,0.44391245,-88.2366406439745,10.521219967865555,86.61745097278487
7,0.5640196,-0.45919016,0.5234686,0.44385478,-88.23678663318861,10.536716306710987,86.62096346153713
8,0.56384116,-0.45936954,0.52331054,0.4440821,-88.2369563529357,10.493993850989284,86.62568523917686
9,0.5639114000000001,-0.45927188,0.5233807,0.4440112,-88.23495871518305,10.51173835524232,86.62671535979118
10,0.5639089,-0.45925662,0.5233734,0.44403857,-88.23245050530416,10.510432609699723,86.6286846623067
11,0.5639596,-0.45917764,0.52341914,0.44400212,-88.22949689435431,10.522568130155609,86.63035434781618
12,0.563995,-0.4591219,0.5234569,0.4439705,-88.22807366470005,10.53178443364862,86.63157986904338
13,0.5639564,-0.45914283,0.5234327,0.44402644,-88.22740553741258,10.523761846165701,86.6345082709991
14,0.5639685000000001,-0.45911068,0.5234754,0.44399387,-88.22914113247484,10.530714514826546,86.63627987745511
15,0.56394166,-0.45911709999999994,0.52348256,0.4440128,-88.23072117349318,10.528203096526628,86.63914913031488
16,0.5639808000000001,-0.45904928,0.52354825,0.44395578,-88.23140267644918,10.541469843822519,86.64112179268815
17,0.5638083,-0.45924762,0.52336574,0.4441848,-88.23062328662166,10.496430568430451,86.64305631959101
18,0.56386906,-0.45917120000000006,0.5234364,0.44410342,-88.23096820606179,10.513091091073775,86.64307046383355
