sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:40:42.352 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
25, 2307684765, 158.76953125, -86.21436309814453, -99.36273956298828
26, 2307701432, 158.77786254882812, -86.21446990966797, -99.37445068359375
27, 2307718099, 158.7817840576172, -86.21431732177734, -99.37606048583984
28, 2307734766, 158.77357482910156, -86.21488189697266, -99.36518096923828
29, 2307751433, 158.77572631835938, -86.21504211425781, -99.37334442138672
30, 2307768100, 158.77786254882812, -86.21586608886719, -99.35951232910156
31, 2307784767, 158.78489685058594, -86.21514129638672, -99.36258697509766
32, 2307801434, 158.7862091064453, -86.21571350097656, -99.37028503417969
33, 2307818101, 158.79385375976562, -86.21607971191406, -99.37899780273438
34, 2307834768, 158.79638671875, -86.21602630615234, -99.36576843261719
35, 2307851435, 158.79383850097656, -86.21524810791016, -99.36540222167969
36, 2307868102, 158.80213928222656, -86.21504211425781, -99.37320709228516
37, 2307884769, 158.8015594482422, -86.21504211425781, -99.37823486328125
38, 2307901436, 158.79978942871094, -86.2159194946289, -99.37044525146484
39, 2307918103, 158.79942321777344, -86.21493530273438, -99.36184692382812
40, 2307934770, 158.80886840820312, -86.21560668945312, -99.36966705322266
41, 2307951437, 158.7993621826172, -86.214111328125, -99.3659439086914
42, 2307968104, 158.80311584472656, -86.214111328125, -99.37157440185547
43, 2307984771, 158.81594848632812, -86.2142105102539, -99.38824462890625
44, 2308001438, 158.8380889892578, -86.21426391601562, -99.4087905883789
45, 2308018105, 158.84764099121094, -86.2146224975586, -99.41838073730469
46, 2308034772, 158.84649658203125, -86.21375274658203, -99.42329406738281
47, 2308051439, 158.8587646484375, -86.21317291259766, -99.42965698242188
48, 2308068106, 158.8651885986328, -86.2128677368164, -99.43758392333984
49, 2308084773, 158.87069702148438, -86.2123031616211, -99.44683837890625
50, 2308101440, 158.89718627929688, -86.21260833740234, -99.4683837890625
51, 2308118107, 158.88729858398438, -86.21141815185547, -99.45643615722656
52, 2308134774, 158.88662719726562, -86.21162414550781, -99.45539855957031
53, 2308151441, 158.8958740234375, -86.21204376220703, -99.46427154541016
54, 2308168108, 158.9026641845703, -86.21173095703125, -99.47764587402344
55, 2308184775, 158.91619873046875, -86.21147155761719, -99.4992904663086
56, 2308201442, 158.93276977539062, -86.21141815185547, -99.51512908935547
57, 2308218109, 158.93463134765625, -86.21137237548828, -99.51891326904297
58, 2308234776, 158.9363250732422, -86.2123031616211, -99.51991271972656
59, 2308251443, 158.94232177734375, -86.21178436279297, -99.52733612060547
60, 2308268110, 158.95797729492188, -86.2115249633789, -99.54347229003906
61, 2308284777, 158.95880126953125, -86.21141815185547, -99.55020141601562
62, 2308301444, 158.94480895996094, -86.21101379394531, -99.53699493408203
63, 2308318111, 158.95057678222656, -86.21141815185547, -99.55581665039062
64, 2308334778, 158.97048950195312, -86.21095275878906, -99.57241821289062
65, 2308351445, 158.9781951904297, -86.21038818359375, -99.58654022216797
66, 2308368112, 158.9943389892578, -86.20956420898438, -99.61263275146484
67, 2308384779, 158.99343872070312, -86.20919799804688, -99.60729217529297
68, 2308401446, 159.01068115234375, -86.20940399169922, -99.61711883544922
69, 2308418113, 159.01673889160156, -86.21054077148438, -99.62519836425781
70, 2308434780, 158.99713134765625, -86.20986938476562, -99.61040496826172
71, 2308451447, 159.00143432617188, -86.20867919921875, -99.61715698242188
72, 2308468114, 159.00540161132812, -86.20863342285156, -99.61930084228516
73, 2308484781, 158.98822021484375, -86.2088394165039, -99.60149383544922
74, 2308501448, 158.98561096191406, -86.20816802978516, -99.59634399414062
75, 2308518115, 158.9836883544922, -86.20718383789062, -99.5881118774414
76, 2308534782, 158.97866821289062, -86.20697784423828, -99.58638763427734
77, 2308551449, 158.99395751953125, -86.2066650390625, -99.59800720214844
78, 2308568116, 158.99697875976562, -86.20630645751953, -99.60320281982422
79, 2308584783, 158.98948669433594, -86.20584106445312, -99.590576171875
80, 2308601450, 158.98733520507812, -86.20573425292969, -99.59552001953125
81, 2308618117, 158.99929809570312, -86.20589447021484, -99.61019897460938
