,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_x,Euler_y,Euler_z
0,0.7257869,0.66074705,-0.13158402,-0.13904147,84.2927918621703,-22.008635561235085,-1.7270218661103522
1,0.7264983,0.6601116,-0.13104317,-0.13885537,84.17347259559604,-21.945548956990443,-1.7762323919213345
2,0.7271204000000001,0.65937686,-0.13125119,-0.13889351,84.05903536682273,-21.96481181543117,-1.7855263791576226
3,0.72744024,0.6590012,-0.13159057,-0.13867998,84.0080929186915,-21.976672114271253,-1.7504100866389058
4,0.7276552,0.65878373,-0.1318336,-0.13835472,83.98063944450138,-21.971812351219924,-1.7085217479613244
5,0.7277313,0.6587278,-0.13187115,-0.13818495,83.97314532125785,-21.961653655875875,-1.692282973402793
6,0.7276633000000001,0.65880024,-0.13176121,-0.13830282,83.98140468197916,-21.961490715333053,-1.7094937070915286
7,0.7275531,0.6589369,-0.13154116,-0.13843994,83.99693729011314,-21.953421071805373,-1.7355415046775122
8,0.7274439,0.6590294,-0.13147944,-0.13863231,84.00964074721308,-21.963342970318983,-1.7546164701739952
9,0.72738063,0.6591088,-0.13142405,-0.13863887,84.02101498290847,-21.95923433676912,-1.7572939636459342
10,0.7273178000000001,0.6591210999999999,-0.13161224,-0.13873199,84.02817119420133,-21.982918441685555,-1.7493479960476495
11,0.7273082,0.6591423000000001,-0.13168417,-0.13861327,84.03412350200703,-21.979920571228178,-1.7322648523798658
12,0.7273303000000001,0.6591613000000001,-0.13172786,-0.13836515,84.03932367745983,-21.964323193293023,-1.7062756961009549
13,0.72736824,0.6591581999999999,-0.13180956,-0.13810259,84.042055306079,-21.95084562357061,-1.6765514810984343
14,0.7274354999999999,0.65913475,-0.13187638,-0.13779637,84.04116682850434,-21.93260872937955,-1.6448941713728538
15,0.7275022,0.6590906,-0.13198023,-0.13755475,84.03777785561383,-21.922611253259557,-1.6164544546909523
16,0.72759473,0.65906036,-0.13196392,-0.13722587,84.03343208475363,-21.89536628273468,-1.5899746974608355
17,0.72765166,0.6590405,-0.13195142,-0.1370315,84.03045534065593,-21.879013621157014,-1.574627028090282
18,0.7276833,0.6590553000000001,-0.13183182,-0.13690728,84.02980491642008,-21.858924922614523,-1.5732706988835927
19,0.7276678000000001,0.6590644,-0.13175376,-0.13702096,84.02864986010346,-21.861063765651664,-1.5894560360141479
