sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 16:16:07.780 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
82, 139053644, 0.5639883, -0.4590967, 0.5234476, 0.44401604
83, 139070311, 0.56397057, -0.4591252, 0.5234063, 0.4440575
84, 139086978, 0.56401664, -0.4590641, 0.5234457, 0.44401568
85, 139103645, 0.56400436, -0.4590686, 0.5234307, 0.4440444
86, 139120312, 0.5639631, -0.45910972, 0.523387, 0.44410565
87, 139136979, 0.5639513, -0.45912415, 0.5233726, 0.44412285
88, 139153646, 0.56397283, -0.459107, 0.5233909, 0.44409153
89, 139170313, 0.5639887, -0.4590883, 0.5234151, 0.44406253
90, 139186980, 0.56403285, -0.45903826, 0.52345735, 0.44400838
91, 139203647, 0.5639963, -0.4590874, 0.52341807, 0.44405007
92, 139220314, 0.56403935, -0.45903495, 0.5234672, 0.44399172
93, 139236981, 0.5640819, -0.458983, 0.5235176, 0.443932
94, 139253648, 0.5640912, -0.45896223, 0.52353364, 0.44392273
95, 139270315, 0.5640927, -0.45896733, 0.52351075, 0.44394273
96, 139286982, 0.56408155, -0.4589798, 0.5234749, 0.44398615
97, 139303649, 0.5640779, -0.45898208, 0.5234646, 0.44400042
98, 139320316, 0.5641007, -0.45895857, 0.5234725, 0.44398654
99, 139336983, 0.5641448, -0.45891586, 0.5234965, 0.44394642
100, 139353650, 0.5641559, -0.45890287, 0.5235086, 0.44393146
101, 139370317, 0.56415045, -0.45890832, 0.52351546, 0.44392458
102, 139386984, 0.5641555, -0.45889455, 0.52354026, 0.4439032
103, 139403651, 0.5641285, -0.45892543, 0.5235175, 0.44393244
104, 139420318, 0.5641625, -0.45888194, 0.52354485, 0.443902
105, 139436985, 0.5641637, -0.4588766, 0.52353984, 0.44391185
106, 139453652, 0.56419575, -0.4588419, 0.5235624, 0.4438804
107, 139470319, 0.5641688, -0.45887074, 0.5235274, 0.4439262
108, 139486986, 0.56418717, -0.4588462, 0.52353203, 0.44392282
109, 139503653, 0.5641915, -0.45883122, 0.52353907, 0.44392446
110, 139520320, 0.5642109, -0.45881036, 0.5235535, 0.4439044
111, 139536987, 0.5642255, -0.45879197, 0.5235624, 0.44389427
112, 139553654, 0.56424177, -0.45878303, 0.5235637, 0.44388127
113, 139570321, 0.5642375, -0.458786, 0.5235608, 0.443887
114, 139586988, 0.5642248, -0.4588093, 0.5235381, 0.44390583
115, 139603655, 0.56419986, -0.45884335, 0.5235019, 0.44394487
116, 139620322, 0.5642008, -0.45883507, 0.5235166, 0.443935
117, 139636989, 0.5641682, -0.4588703, 0.5234826, 0.44398016
118, 139653656, 0.5641255, -0.45891073, 0.5234592, 0.4440202
119, 139670323, 0.56411046, -0.45892528, 0.5234572, 0.44402644
120, 139686990, 0.56409836, -0.45893547, 0.5234581, 0.44403034
121, 139703657, 0.56409454, -0.45892394, 0.52348167, 0.44401923
122, 139720324, 0.56408316, -0.45893356, 0.52347237, 0.4440346
123, 139736991, 0.5640813, -0.45892388, 0.52349216, 0.44402382
124, 139753658, 0.5640514, -0.45894846, 0.52346915, 0.44406354
125, 139770325, 0.56405383, -0.45893702, 0.5234666, 0.44407526
126, 139786992, 0.5640518, -0.4589476, 0.5234407, 0.44409737
127, 139803659, 0.5640812, -0.45892957, 0.52343124, 0.44408983
128, 139820326, 0.56410706, -0.45890737, 0.5234314, 0.44407943
129, 139836993, 0.56407934, -0.45893487, 0.5234014, 0.4441219
130, 139853660, 0.5640476, -0.458957, 0.5233971, 0.4441445
131, 139870327, 0.5640173, -0.45898223, 0.5234042, 0.4441485
132, 139886994, 0.56400764, -0.45897368, 0.5234444, 0.44412225
133, 139903661, 0.56398624, -0.45898926, 0.5234607, 0.4441139
134, 139920328, 0.5639606, -0.45900843, 0.52345335, 0.44413555
135, 139936995, 0.56397873, -0.45899045, 0.52347267, 0.4441083
136, 139953662, 0.5640013, -0.4589753, 0.5234721, 0.44409603
137, 139970329, 0.5640098, -0.45898014, 0.5234389, 0.44411922
138, 139986996, 0.5640453, -0.45895466, 0.52342796, 0.44411343
