sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 16:15:54.847 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1, 124788302, -64.18745422363281, 86.64339447021484, 15.05576229095459
2, 124804969, -63.285377502441406, 86.59153747558594, 16.051376342773438
3, 124821636, -62.145076751708984, 86.5465087890625, 17.2702693939209
4, 124838303, -61.164466857910156, 86.51766204833984, 18.205581665039062
5, 124854970, -60.509037017822266, 86.49362182617188, 18.85892105102539
6, 124871637, -60.12074661254883, 86.47785949707031, 19.258365631103516
7, 124888304, -59.87370681762695, 86.46969604492188, 19.5002498626709
8, 124904971, -59.717403411865234, 86.46941375732422, 19.650766372680664
9, 124921638, -59.598392486572266, 86.469970703125, 19.8068790435791
10, 124938305, -59.57527542114258, 86.47391510009766, 19.83245086669922
11, 124954972, -59.53064727783203, 86.47730255126953, 19.863624572753906
12, 124971639, -59.51464080810547, 86.48080444335938, 19.872455596923828
13, 124988306, -59.45222091674805, 86.48019409179688, 19.91745948791504
14, 125004973, -59.38860321044922, 86.47840881347656, 19.980438232421875
15, 125021640, -59.31999588012695, 86.47640991210938, 20.04733657836914
16, 125038307, -59.2652587890625, 86.47640991210938, 20.099321365356445
17, 125054974, -59.27873611450195, 86.47835540771484, 20.092254638671875
18, 125071641, -59.38193893432617, 86.48387145996094, 19.995704650878906
19, 125088308, -59.50951385498047, 86.49234008789062, 19.831098556518555
20, 125104975, -59.64018630981445, 86.49993896484375, 19.704904556274414
21, 125121642, -59.72045135498047, 86.50447845458984, 19.629257202148438
22, 125138309, -59.740577697753906, 86.50643920898438, 19.620927810668945
23, 125154976, -59.706172943115234, 86.50542449951172, 19.662586212158203
24, 125171643, -59.59907531738281, 86.50094604492188, 19.77867317199707
25, 125188310, -59.523502349853516, 86.49513244628906, 19.86270523071289
26, 125204977, -59.45096969604492, 86.49078369140625, 19.950149536132812
27, 125221644, -59.3673210144043, 86.48860168457031, 20.03269386291504
28, 125238311, -59.278987884521484, 86.48810577392578, 20.140666961669922
29, 125254978, -59.29489517211914, 86.48643493652344, 20.1232852935791
30, 125271645, -59.34305953979492, 86.48865509033203, 20.07026481628418
31, 125288312, -59.401641845703125, 86.49390411376953, 20.034969329833984
32, 125304979, -59.504573822021484, 86.50122833251953, 19.938535690307617
33, 125321646, -59.61469650268555, 86.50654602050781, 19.83371925354004
34, 125338313, -59.69364929199219, 86.5115966796875, 19.759525299072266
35, 125354980, -59.705867767333984, 86.51383972167969, 19.751134872436523
36, 125371647, -59.644805908203125, 86.51310729980469, 19.78560447692871
37, 125388314, -59.529197692871094, 86.50677490234375, 19.907936096191406
38, 125404981, -59.42505645751953, 86.49971771240234, 20.01578140258789
39, 125421648, -59.337528228759766, 86.49474334716797, 20.10697364807129
40, 125438315, -59.27956771850586, 86.4940185546875, 20.153493881225586
41, 125454982, -59.31330108642578, 86.49491119384766, 20.12702178955078
42, 125471649, -59.360191345214844, 86.4979248046875, 20.082603454589844
43, 125488316, -59.433048248291016, 86.5030746459961, 20.009695053100586
44, 125504983, -59.51938247680664, 86.50885009765625, 19.90740203857422
45, 125521650, -59.59154510498047, 86.5141830444336, 19.841617584228516
46, 125538317, -59.6552619934082, 86.51817321777344, 19.778345108032227
47, 125554984, -59.679134368896484, 86.51946258544922, 19.748409271240234
48, 125571651, -59.67038345336914, 86.51789093017578, 19.752172470092773
49, 125588318, -59.581695556640625, 86.51383972167969, 19.83315086364746
50, 125604985, -59.46206283569336, 86.506103515625, 19.94834327697754
51, 125621652, -59.342952728271484, 86.49859619140625, 20.06460952758789
52, 125638319, -59.25478744506836, 86.4928970336914, 20.153470993041992
53, 125654986, -59.219566345214844, 86.49211883544922, 20.165313720703125
54, 125671653, -59.23275375366211, 86.49513244628906, 20.152448654174805
55, 125688320, -59.34462356567383, 86.50122833251953, 20.029144287109375
56, 125704987, -59.46001434326172, 86.50895690917969, 19.907150268554688
57, 125721654, -59.560935974121094, 86.5153579711914, 19.81781005859375
58, 125738321, -59.631813049316406, 86.52024841308594, 19.746749877929688
59, 125754988, -59.63198471069336, 86.52114868164062, 19.75672721862793
60, 125771655, -59.5787239074707, 86.51901245117188, 19.81202507019043
61, 125788322, -59.47225570678711, 86.51373291015625, 19.926977157592773
62, 125804989, -59.375762939453125, 86.5083999633789, 20.032670974731445
63, 125821656, -59.3163948059082, 86.50251770019531, 20.087549209594727
64, 125838323, -59.24663162231445, 86.49815368652344, 20.15443992614746
65, 125854990, -59.192962646484375, 86.49513244628906, 20.203460693359375
66, 125871657, -59.19335174560547, 86.49451446533203, 20.184303283691406
67, 125888324, -59.2451171875, 86.49803924560547, 20.135059356689453
68, 125904991, -59.33214569091797, 86.50442504882812, 20.042346954345703
69, 125921658, -59.46209716796875, 86.51126098632812, 19.916393280029297
70, 125938325, -59.571266174316406, 86.51665496826172, 19.810277938842773
71, 125954992, -59.62511444091797, 86.52059173583984, 19.755752563476562
72, 125971659, -59.62451934814453, 86.52059173583984, 19.762895584106445
73, 125988326, -59.555904388427734, 86.51564025878906, 19.833261489868164
74, 126004993, -59.45145034790039, 86.51036071777344, 19.949068069458008
75, 126021660, -59.36454391479492, 86.50386047363281, 20.04012680053711
76, 126038327, -59.276283264160156, 86.49859619140625, 20.140010833740234
77, 126054994, -59.243873596191406, 86.49664306640625, 20.165912628173828
78, 126071661, -59.23700714111328, 86.4955825805664, 20.177837371826172
79, 126088328, -59.277347564697266, 86.49647521972656, 20.147912979125977
80, 126104995, -59.33223342895508, 86.50083923339844, 20.090280532836914
81, 126121662, -59.39567565917969, 86.50469970703125, 20.04263687133789
82, 126138329, -59.4712028503418, 86.50879669189453, 19.96708106994629
83, 126154996, -59.557918548583984, 86.51350402832031, 19.873798370361328
84, 126171663, -59.59366226196289, 86.51473999023438, 19.825347900390625
85, 126188330, -59.56893539428711, 86.51485443115234, 19.846237182617188
86, 126204997, -59.502689361572266, 86.51126098632812, 19.925939559936523
87, 126221664, -59.41970443725586, 86.50436401367188, 20.01321792602539
88, 126238331, -59.3256721496582, 86.4986572265625, 20.12423324584961
89, 126254998, -59.29069900512695, 86.49546813964844, 20.15488052368164
90, 126271665, -59.29672622680664, 86.49513244628906, 20.13930892944336
91, 126288332, -59.36465835571289, 86.49876403808594, 20.03915023803711
92, 126304999, -59.4130859375, 86.50228881835938, 20.005090713500977
93, 126321666, -59.48994445800781, 86.5074462890625, 19.936403274536133
94, 126338333, -59.54799270629883, 86.51204681396484, 19.890003204345703
95, 126355000, -59.58051300048828, 86.51395416259766, 19.868078231811523
96, 126371667, -59.59614562988281, 86.5147933959961, 19.85059356689453
97, 126388334, -59.57224655151367, 86.514404296875, 19.87169075012207
98, 126405001, -59.54661560058594, 86.51216125488281, 19.891101837158203
99, 126421668, -59.518951416015625, 86.5099105834961, 19.89656639099121
100, 126438335, -59.46240997314453, 86.50626373291016, 19.949676513671875
101, 126455002, -59.4361686706543, 86.5030746459961, 19.988109588623047
102, 126471669, -59.39543533325195, 86.5017318725586, 20.024444580078125
103, 126488336, -59.37911605834961, 86.50144958496094, 20.0433349609375
104, 126505003, -59.42369842529297, 86.50386047363281, 20.00371742248535
105, 126521670, -59.4759407043457, 86.50811767578125, 19.95516586303711
106, 126538337, -59.5180778503418, 86.51126098632812, 19.909236907958984
107, 126555004, -59.52899169921875, 86.51288604736328, 19.900798797607422
108, 126571671, -59.50765609741211, 86.51310729980469, 19.93340492248535
109, 126588338, -59.49137878417969, 86.51092529296875, 19.941864013671875
110, 126605005, -59.45931625366211, 86.5076675415039, 19.96482276916504
111, 126621672, -59.42377853393555, 86.5040283203125, 19.994976043701172
112, 126638339, -59.37583923339844, 86.50257110595703, 20.05477523803711
113, 126655006, -59.356201171875, 86.5015640258789, 20.075092315673828
114, 126671673, -59.35932540893555, 86.50116729736328, 20.065948486328125
115, 126688340, -59.34687805175781, 86.50223541259766, 20.077238082885742
116, 126705007, -59.35019302368164, 86.504638671875, 20.062894821166992
117, 126721674, -59.38328552246094, 86.50778198242188, 20.02976417541504
118, 126738341, -59.4266357421875, 86.5099105834961, 19.9905948638916
119, 126755008, -59.47268295288086, 86.51097869873047, 19.9501895904541
