sep=,
DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Euler),,,,,,,,,,,,,,,,,
StartTime:,2022-06-09 15:53:35.641 +0530,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1, 3080603856, 84.49750518798828, 0.4468039274215698, -23.031824111938477
2, 3080620523, 84.49181365966797, 0.4204002618789673, -23.0015926361084
3, 3080637190, 84.50579071044922, 0.4059881269931793, -23.012737274169922
4, 3080653857, 84.51930236816406, 0.36398839950561523, -23.008562088012695
5, 3080670524, 84.51246643066406, 0.2944866120815277, -22.97911262512207
6, 3080687191, 84.49136352539062, 0.22897331416606903, -23.00240135192871
7, 3080703858, 84.47126007080078, 0.17921507358551025, -23.007211685180664
8, 3080720525, 84.4537124633789, 0.13863076269626617, -22.99953269958496
9, 3080737192, 84.43964385986328, 0.10795804113149643, -22.965904235839844
10, 3080753859, 84.42786407470703, 0.09078862518072128, -22.950050354003906
11, 3080770526, 84.42211151123047, 0.07963063567876816, -22.90691375732422
12, 3080787193, 84.42115020751953, 0.07042097300291061, -22.853229522705078
13, 3080803860, 84.41768646240234, 0.06466397643089294, -22.828472137451172
14, 3080820527, 84.41087341308594, 0.06826519221067429, -22.79741668701172
15, 3080837194, 84.40343475341797, 0.07688148319721222, -22.76966094970703
16, 3080853861, 84.39815521240234, 0.07684306800365448, -22.74024772644043
17, 3080870528, 84.39739227294922, 0.06836679577827454, -22.699926376342773
18, 3080887195, 84.39523315429688, 0.06123094633221626, -22.666324615478516
19, 3080903862, 84.39100646972656, 0.05875416100025177, -22.63779067993164
20, 3080920529, 84.39118957519531, 0.05623124539852142, -22.631887435913086
21, 3080937196, 84.39340209960938, 0.05883270129561424, -22.630937576293945
22, 3080953863, 84.39508056640625, 0.07510904967784882, -22.63245391845703
23, 3080970530, 84.38977813720703, 0.10278672724962234, -22.638853073120117
24, 3080987197, 84.38887023925781, 0.12732934951782227, -22.639169692993164
25, 3081003864, 84.38847351074219, 0.13192693889141083, -22.62891960144043
26, 3081020531, 84.3924331665039, 0.12024984508752823, -22.61734390258789
27, 3081037198, 84.39518737792969, 0.10725025832653046, -22.614316940307617
28, 3081053865, 84.39692687988281, 0.102208711206913, -22.600873947143555
29, 3081070532, 84.3979263305664, 0.10208918154239655, -22.590206146240234
30, 3081087199, 84.398193359375, 0.10169560462236404, -22.575927734375
31, 3081103866, 84.39773559570312, 0.0995645821094513, -22.558311462402344
32, 3081120533, 84.39666748046875, 0.09728499501943588, -22.534934997558594
33, 3081137200, 84.39497375488281, 0.09380927681922913, -22.522565841674805
34, 3081153867, 84.39313507080078, 0.0887720063328743, -22.50361442565918
35, 3081170534, 84.39421081542969, 0.08042208850383759, -22.48297882080078
